Year,Atlantic cod,Queen crab,Redfishes,Northern prawn,American plaice,Yellowtail flounder,Greenland halibut,American sea scallop,American lobster,Haddock,Witch flounder,Mixed group
1950,232130847,0,4028507,7089,5369200,67254,10,848603,20425983,9916758,1309083,42912076
1951,201090203,0,6516366,13850,7838974,115368,20,1340267,24511804,12131133,2085417,44785908
1952,255767309,0,7161486,26087,9200412,187495,40,3063615,23431989,30051983,2509222,47863427
1953,268713566,0,8313487,56689,8656077,257128,88,5573367,26640053,29033847,3924891,57543944
1954,324402617,0,10420838,90695,6704336,480468,161,7369014,26088712,35721487,3496282,71686678
1955,302063069,0,14469003,104482,6929224,675676,213,12177757,27448049,50917828,4324003,78769450
1956,313471199,0,19021011,286649,11614899,657650,45110,11907538,29583923,43217569,6061847,82733058
1957,308065511,0,41202273,401418,13214577,885218,89466,11349207,23148505,40731381,1249789,84572119
1958,294168310,0,82240339,400994,16046707,1201005,45157,36300467,23898355,37725395,871881,112708890
1959,307344104,0,114760366,515702,15201088,1324105,102811,37466863,26616077,34822393,991904,102068532
1960,438424538,0,179494527,1027646,12839307,1691578,778,38132243,26530743,51379667,12050623,83412598
1961,545238623,0,117443683,1458577,13204938,3162231,221501,57812378,27225609,59574575,12378839,80836334
1962,522230923,0,73834259,1940058,12347252,4572354,153253,69097963,29467854,31623412,17230688,88129094
1963,689249308,0,68676951,0,19106243,1021522,621905,736719,4276120,6986558,4077939,18587931
1964,818933869,0,97804624,0,29529677,474404,1547051,6895838,5368050,6625032,2897781,29064849
1965,824205546,0,112586949,0,40733206,6579561,2700761,305406,4288602,5703146,6906912,22105703
1966,810212521,0,77216318,0,35788236,13574793,7302089,9237,3830849,6959006,13668190,17996696
1967,1027367599,0,96052165,0,46617654,17982441,13213861,3077946,3136395,8483004,18836800,33364902
1968,1176335538,367685,60537213,0,48102655,26779065,21718716,379122,3655745,4527042,27340290,43994361
1969,999871196,2234975,115488066,0,72343430,30250109,45177212,2165369,3620439,2757890,29351539,39686661
1970,732765701,5161865,98956986,0,59000389,44478019,37596768,3009318,3084150,4394246,31886141,43660397
1971,674308073,8101716,119063173,0,44536244,61242983,12175014,826754,2639644,3707416,30768985,40146319
1972,682117149,10682855,141718481,0,51443141,73323495,22701310,1438286,3140104,2873943,33979064,40292026
1973,527132128,18761152,127174160,0,46371623,64156079,22171856,1321393,3511634,1966131,36521450,58079199
1974,555900145,21488281,126673415,0,30763906,41719445,20115561,232797,3729995,1859250,28814250,71089760
1975,390878664,12045882,100302555,0,27621784,37639238,21924053,17330,5473000,1065260,21565648,89330576
1976,272056195,15734690,81263038,1358391,41137987,18837213,15335579,45335,7134439,302694,20843306,93481237
1977,210173155,23651390,58555048,6391435,22595956,12755925,15150931,204285,7634289,615652,13407869,123018656
1978,158663079,51752840,48591919,9440871,25047165,18904852,17034595,287431,10459204,678805,8620099,122477316
1979,178652792,69551363,59874750,8715145,20853740,19197668,8528120,490357,9858145,794663,6057633,107833308
1980,152915926,53645604,64941130,10094194,15763470,9263021,7652900,962869,8629995,427164,3484778,60806927
1981,161975232,78637035,77575763,8667986,18330449,11109032,9134006,667959,7509963,323152,3991976,57236656
1982,175628597,76441759,74636629,8366962,16691864,10642097,12163116,13890393,6326460,677621,4228767,38312476
1983,165024448,62580512,74215142,3547197,14922660,8264084,13079254,12422921,7522706,575161,4551072,38234934
1984,170170100,53696392,83819544,3402649,14589796,10562624,13659948,9193823,7197626,3391968,5933286,51241198
1985,195491221,45493342,109680575,5303849,23878285,37772400,12998364,2465573,8519176,6665504,10978384,82857335
1986,274859395,54342657,138317907,7970559,38138096,42231767,13708927,4396696,7907733,8246843,15583692,112658708
1987,260738541,43814098,217499468,13184732,38069658,29840168,27969616,2308388,7451520,6884784,13701630,84661981
1988,196916110,54425260,128894062,29870093,22935060,26602875,13163098,19107726,7356361,7245341,10402861,90284214
