"","time","penalty_fn","variable","value"
"1",1,"L1","harvest",6.53244897959184
"2",2,"L1","harvest",0.01
"3",3,"L1","harvest",0.01
"4",4,"L1","harvest",0.01
"5",5,"L1","harvest",0.01
"6",6,"L1","harvest",0.173061224489796
"7",7,"L1","harvest",0.82530612244898
"8",8,"L1","harvest",3.10816326530612
"9",9,"L1","harvest",3.10816326530612
"10",10,"L1","harvest",3.10816326530612
"11",11,"L1","harvest",0.336122448979592
"12",12,"L1","harvest",3.27122448979592
"13",13,"L1","harvest",2.12979591836735
"14",14,"L1","harvest",2.12979591836735
"15",15,"L1","harvest",2.12979591836735
"16",16,"L1","harvest",2.12979591836735
"17",17,"L1","harvest",2.12979591836735
"18",18,"L1","harvest",1.96673469387755
"19",19,"L1","harvest",0.662244897959184
"20",20,"L1","harvest",0.662244897959184
"21",21,"L1","harvest",2.12979591836735
"22",22,"L1","harvest",2.12979591836735
"23",23,"L1","harvest",0.499183673469388
"24",24,"L1","harvest",0.499183673469388
"25",25,"L1","harvest",2.94510204081633
"26",26,"L1","harvest",0.01
"27",27,"L1","harvest",4.57571428571429
"28",28,"L1","harvest",0.01
"29",29,"L1","harvest",0.01
"30",30,"L1","harvest",2.45591836734694
"31",31,"L1","harvest",0.01
"32",32,"L1","harvest",0.01
"33",33,"L1","harvest",0.01
"34",34,"L1","harvest",0.01
"35",35,"L1","harvest",0.01
"36",36,"L1","harvest",0.01
"37",37,"L1","harvest",0.01
"38",38,"L1","harvest",0.01
"39",39,"L1","harvest",0.01
"40",40,"L1","harvest",0.01
"41",41,"L1","harvest",0.01
"42",42,"L1","harvest",0.01
"43",43,"L1","harvest",0.01
"44",44,"L1","harvest",0.82530612244898
"45",45,"L1","harvest",3.27122448979592
"46",46,"L1","harvest",3.27122448979592
"47",47,"L1","harvest",3.27122448979592
"48",48,"L1","harvest",3.27122448979592
"49",49,"L1","harvest",5.55408163265306
"50",1,"L2","harvest",1.80367346938776
"51",2,"L2","harvest",1.31448979591837
"52",3,"L2","harvest",1.15142857142857
"53",4,"L2","harvest",0.82530612244898
"54",5,"L2","harvest",0.499183673469388
"55",6,"L2","harvest",0.988367346938776
"56",7,"L2","harvest",0.988367346938776
"57",8,"L2","harvest",1.64061224489796
"58",9,"L2","harvest",2.45591836734694
"59",10,"L2","harvest",2.12979591836735
"60",11,"L2","harvest",1.80367346938776
"61",12,"L2","harvest",2.12979591836735
"62",13,"L2","harvest",2.12979591836735
"63",14,"L2","harvest",2.45591836734694
"64",15,"L2","harvest",1.96673469387755
"65",16,"L2","harvest",2.45591836734694
"66",17,"L2","harvest",1.96673469387755
"67",18,"L2","harvest",1.96673469387755
"68",19,"L2","harvest",1.47755102040816
"69",20,"L2","harvest",1.64061224489796
"70",21,"L2","harvest",1.80367346938776
"71",22,"L2","harvest",1.80367346938776
"72",23,"L2","harvest",0.988367346938776
"73",24,"L2","harvest",0.499183673469388
"74",25,"L2","harvest",1.47755102040816
"75",26,"L2","harvest",1.15142857142857
"76",27,"L2","harvest",1.64061224489796
"77",28,"L2","harvest",1.47755102040816
"78",29,"L2","harvest",1.47755102040816
"79",30,"L2","harvest",1.47755102040816
"80",31,"L2","harvest",0.82530612244898
"81",32,"L2","harvest",0.336122448979592
"82",33,"L2","harvest",0.01
"83",34,"L2","harvest",0.01
"84",35,"L2","harvest",0.01
"85",36,"L2","harvest",0.01
"86",37,"L2","harvest",0.01
"87",38,"L2","harvest",0.01
"88",39,"L2","harvest",0.01
"89",40,"L2","harvest",0.173061224489796
"90",41,"L2","harvest",0.336122448979592
"91",42,"L2","harvest",0.82530612244898
"92",43,"L2","harvest",0.82530612244898
"93",44,"L2","harvest",0.82530612244898
"94",45,"L2","harvest",1.47755102040816
"95",46,"L2","harvest",2.78204081632653
"96",47,"L2","harvest",2.78204081632653
"97",48,"L2","harvest",3.9234693877551
"98",49,"L2","harvest",5.39102040816327
"99",1,"fixed","harvest",7.67387755102041
"100",2,"fixed","harvest",0.01
"101",3,"fixed","harvest",0.01
"102",4,"fixed","harvest",0.01
"103",5,"fixed","harvest",0.01
"104",6,"fixed","harvest",0.01
"105",7,"fixed","harvest",0.01
"106",8,"fixed","harvest",6.85857142857143
"107",9,"fixed","harvest",0.01
"108",10,"fixed","harvest",0.01
"109",11,"fixed","harvest",0.01
"110",12,"fixed","harvest",7.67387755102041
"111",13,"fixed","harvest",0.01
"112",14,"fixed","harvest",0.01
"113",15,"fixed","harvest",0.01
"114",16,"fixed","harvest",8
"115",17,"fixed","harvest",0.01
"116",18,"fixed","harvest",0.01
"117",19,"fixed","harvest",0.01
"118",20,"fixed","harvest",6.20632653061225
"119",21,"fixed","harvest",0.01
"120",22,"fixed","harvest",0.01
"121",23,"fixed","harvest",0.01
"122",24,"fixed","harvest",0.01
"123",25,"fixed","harvest",6.85857142857143
"124",26,"fixed","harvest",0.01
"125",27,"fixed","harvest",0.01
"126",28,"fixed","harvest",0.01
"127",29,"fixed","harvest",0.01
