"","penalty_fn","reps","variable","value","penalty_fraction","statistic","timeseries"
"1","L1",1,"stock.variance",4.45541333466022,0,"variance","harvest"
"2","L2",1,"stock.variance",5.50743583448584,0,"variance","harvest"
"3","fixed",1,"stock.variance",6.52521065744841,0,"variance","harvest"
"4","L1",2,"stock.variance",4.96231269219315,0,"variance","harvest"
"5","L2",2,"stock.variance",4.20007362062629,0,"variance","harvest"
"6","fixed",2,"stock.variance",4.89305476387077,0,"variance","harvest"
"7","L1",3,"stock.variance",3.29949526209401,0,"variance","harvest"
"8","L2",3,"stock.variance",3.37553653949672,0,"variance","harvest"
"9","fixed",3,"stock.variance",4.14978678237296,0,"variance","harvest"
"10","L1",4,"stock.variance",5.86073244334431,0,"variance","harvest"
"11","L2",4,"stock.variance",4.32342630126153,0,"variance","harvest"
"12","fixed",4,"stock.variance",5.65003884921385,0,"variance","harvest"
"13","L1",5,"stock.variance",4.58512404342615,0,"variance","harvest"
"14","L2",5,"stock.variance",4.08878234751165,0,"variance","harvest"
"15","fixed",5,"stock.variance",5.05331939740747,0,"variance","harvest"
"16","L1",6,"stock.variance",4.09013243860229,0,"variance","harvest"
"17","L2",6,"stock.variance",5.42383415149916,0,"variance","harvest"
"18","fixed",6,"stock.variance",4.90165431213773,0,"variance","harvest"
"19","L1",7,"stock.variance",5.06143024837059,0,"variance","harvest"
"20","L2",7,"stock.variance",4.48928249866922,0,"variance","harvest"
"21","fixed",7,"stock.variance",5.5610720323696,0,"variance","harvest"
"22","L1",8,"stock.variance",4.20133155113097,0,"variance","harvest"
"23","L2",8,"stock.variance",5.35821714531124,0,"variance","harvest"
"24","fixed",8,"stock.variance",4.31355391280765,0,"variance","harvest"
"25","L1",9,"stock.variance",4.28468291476245,0,"variance","harvest"
"26","L2",9,"stock.variance",6.00713111343275,0,"variance","harvest"
"27","fixed",9,"stock.variance",5.01939495924626,0,"variance","harvest"
"28","L1",10,"stock.variance",5.56362860731821,0,"variance","harvest"
"29","L2",10,"stock.variance",6.2022366435917,0,"variance","harvest"
"30","fixed",10,"stock.variance",5.00672517877161,0,"variance","harvest"
"31","L1",11,"stock.variance",6.41294635118364,0,"variance","harvest"
"32","L2",11,"stock.variance",5.94021872264201,0,"variance","harvest"
"33","fixed",11,"stock.variance",4.63085240884869,0,"variance","harvest"
"34","L1",12,"stock.variance",5.11077659327448,0,"variance","harvest"
"35","L2",12,"stock.variance",5.36338849877612,0,"variance","harvest"
"36","fixed",12,"stock.variance",4.6918129854832,0,"variance","harvest"
"37","L1",13,"stock.variance",3.46031698305185,0,"variance","harvest"
"38","L2",13,"stock.variance",5.52699175125706,0,"variance","harvest"
"39","fixed",13,"stock.variance",5.59021475635647,0,"variance","harvest"
"40","L1",14,"stock.variance",5.67016741899963,0,"variance","harvest"
"41","L2",14,"stock.variance",4.20797986216753,0,"variance","harvest"
"42","fixed",14,"stock.variance",4.61210394960788,0,"variance","harvest"
"43","L1",15,"stock.variance",5.16196416194441,0,"variance","harvest"
"44","L2",15,"stock.variance",4.98877157256713,0,"variance","harvest"
"45","fixed",15,"stock.variance",6.72671603197577,0,"variance","harvest"
"46","L1",16,"stock.variance",4.84918045837489,0,"variance","harvest"
"47","L2",16,"stock.variance",5.98514768102099,0,"variance","harvest"
"48","fixed",16,"stock.variance",4.2129177265993,0,"variance","harvest"
"49","L1",17,"stock.variance",5.77963148550748,0,"variance","harvest"
"50","L2",17,"stock.variance",4.07360730515943,0,"variance","harvest"
"51","fixed",17,"stock.variance",4.72291712113541,0,"variance","harvest"
"52","L1",18,"stock.variance",6.31752531386015,0,"variance","harvest"
"53","L2",18,"stock.variance",3.39342500218855,0,"variance","harvest"
"54","fixed",18,"stock.variance",5.57211195201725,0,"variance","harvest"
"55","L1",19,"stock.variance",4.20688723241508,0,"variance","harvest"
"56","L2",19,"stock.variance",7.57314000498971,0,"variance","harvest"
"57","fixed",19,"stock.variance",4.78441940100928,0,"variance","harvest"
"58","L1",20,"stock.variance",6.51651099153931,0,"variance","harvest"
"59","L2",20,"stock.variance",4.18967226847874,0,"variance","harvest"
"60","fixed",20,"stock.variance",2.16118369123193,0,"variance","harvest"
"61","L1",21,"stock.variance",5.24986700831321,0,"variance","harvest"
"62","L2",21,"stock.variance",5.03798416309435,0,"variance","harvest"
"63","fixed",21,"stock.variance",4.12602982491865,0,"variance","harvest"
"64","L1",22,"stock.variance",4.30577654832513,0,"variance","harvest"
"65","L2",22,"stock.variance",4.70158525573411,0,"variance","harvest"
"66","fixed",22,"stock.variance",6.50090808577536,0,"variance","harvest"
"67","L1",23,"stock.variance",6.26442808999135,0,"variance","harvest"
"68","L2",23,"stock.variance",3.78222359255329,0,"variance","harvest"
"69","fixed",23,"stock.variance",4.94965493030315,0,"variance","harvest"
"70","L1",24,"stock.variance",4.89544993989298,0,"variance","harvest"
"71","L2",24,"stock.variance",5.13480192607922,0,"variance","harvest"
"72","fixed",24,"stock.variance",5.99317721461044,0,"variance","harvest"
"73","L1",25,"stock.variance",4.79723617975502,0,"variance","harvest"
"74","L2",25,"stock.variance",6.45326857057146,0,"variance","harvest"
"75","fixed",25,"stock.variance",4.66656309837352,0,"variance","harvest"
"76","L1",26,"stock.variance",6.01306945492059,0,"variance","harvest"
"77","L2",26,"stock.variance",6.1950340618776,0,"variance","harvest"
"78","fixed",26,"stock.variance",4.21083054870831,0,"variance","harvest"
"79","L1",27,"stock.variance",3.5497285006219,0,"variance","harvest"
"80","L2",27,"stock.variance",5.89545914008537,0,"variance","harvest"
"81","fixed",27,"stock.variance",5.79017053248161,0,"variance","harvest"
"82","L1",28,"stock.variance",4.06935233596828,0,"variance","harvest"
"83","L2",28,"stock.variance",4.90932011395864,0,"variance","harvest"
"84","fixed",28,"stock.variance",3.89845699939796,0,"variance","harvest"
"85","L1",29,"stock.variance",4.43082084561635,0,"variance","harvest"
"86","L2",29,"stock.variance",4.25274222025792,0,"variance","harvest"
"87","fixed",29,"stock.variance",5.32397107943761,0,"variance","harvest"
"88","L1",30,"stock.variance",6.63598215151929,0,"variance","harvest"
"89","L2",30,"stock.variance",5.57614101343134,0,"variance","harvest"
"90","fixed",30,"stock.variance",4.22332156765662,0,"variance","harvest"
"91","L1",31,"stock.variance",7.46665143850254,0,"variance","harvest"
"92","L2",31,"stock.variance",5.06799547925178,0,"variance","harvest"
"93","fixed",31,"stock.variance",4.4176527760619,0,"variance","harvest"
"94","L1",32,"stock.variance",5.54157044429144,0,"variance","harvest"
"95","L2",32,"stock.variance",4.68454331065447,0,"variance","harvest"
"96","fixed",32,"stock.variance",6.35522181147071,0,"variance","harvest"
"97","L1",33,"stock.variance",4.53975967573268,0,"variance","harvest"
"98","L2",33,"stock.variance",3.57015771287309,0,"variance","harvest"
"99","fixed",33,"stock.variance",4.50801887893879,0,"variance","harvest"
"100","L1",34,"stock.variance",7.06394830902176,0,"variance","harvest"
"101","L2",34,"stock.variance",3.95455818682525,0,"variance","harvest"
"102","fixed",34,"stock.variance",4.43997404351086,0,"variance","harvest"
"103","L1",35,"stock.variance",4.05739181849636,0,"variance","harvest"
"104","L2",35,"stock.variance",6.34339302543285,0,"variance","harvest"
"105","fixed",35,"stock.variance",4.64447509501304,0,"variance","harvest"
"106","L1",36,"stock.variance",4.05213638656237,0,"variance","harvest"
"107","L2",36,"stock.variance",4.55938627802329,0,"variance","harvest"
"108","fixed",36,"stock.variance",4.07819275215968,0,"variance","harvest"
"109","L1",37,"stock.variance",3.87732114709652,0,"variance","harvest"
"110","L2",37,"stock.variance",5.59290106157145,0,"variance","harvest"
