"","penalty_fn","replicate","Assumption","variable","value"
"1","L1","rep_1","Adjustment penalty","profits",201.549635618661
"2","L1","rep_2","Adjustment penalty","profits",213.408767807055
"3","L1","rep_3","Adjustment penalty","profits",133.241265318665
"4","L1","rep_4","Adjustment penalty","profits",244.551545548677
"5","L1","rep_5","Adjustment penalty","profits",148.366056507204
"6","L1","rep_6","Adjustment penalty","profits",210.572952321951
"7","L1","rep_7","Adjustment penalty","profits",272.851748711326
"8","L1","rep_8","Adjustment penalty","profits",138.36189537593
"9","L1","rep_9","Adjustment penalty","profits",163.575168863648
"10","L1","rep_10","Adjustment penalty","profits",152.670983314456
"11","L1","rep_11","Adjustment penalty","profits",134.499766003301
"12","L1","rep_12","Adjustment penalty","profits",130.689779425396
"13","L1","rep_13","Adjustment penalty","profits",209.355216677496
"14","L1","rep_14","Adjustment penalty","profits",303.318678466445
"15","L1","rep_15","Adjustment penalty","profits",190.554863905829
"16","L1","rep_16","Adjustment penalty","profits",228.944208271281
"17","L1","rep_17","Adjustment penalty","profits",244.425911289639
"18","L1","rep_18","Adjustment penalty","profits",182.445103507471
"19","L1","rep_19","Adjustment penalty","profits",189.27715551607
"20","L1","rep_20","Adjustment penalty","profits",168.007593554817
"21","L1","rep_21","Adjustment penalty","profits",226.708621798
"22","L1","rep_22","Adjustment penalty","profits",225.209942636465
"23","L1","rep_23","Adjustment penalty","profits",226.610863650625
"24","L1","rep_24","Adjustment penalty","profits",154.211804554472
"25","L1","rep_25","Adjustment penalty","profits",141.370002073286
"26","L1","rep_26","Adjustment penalty","profits",213.086260592651
"27","L1","rep_27","Adjustment penalty","profits",188.527904915011
"28","L1","rep_28","Adjustment penalty","profits",171.685960408472
"29","L1","rep_29","Adjustment penalty","profits",204.717228918158
"30","L1","rep_30","Adjustment penalty","profits",160.663867820384
"31","L1","rep_31","Adjustment penalty","profits",195.403823289383
"32","L1","rep_32","Adjustment penalty","profits",195.76459818516
"33","L1","rep_33","Adjustment penalty","profits",194.421888254207
"34","L1","rep_34","Adjustment penalty","profits",184.8749424421
"35","L1","rep_35","Adjustment penalty","profits",215.513752196688
"36","L1","rep_36","Adjustment penalty","profits",193.532534636934
"37","L1","rep_37","Adjustment penalty","profits",167.466049239875
"38","L1","rep_38","Adjustment penalty","profits",169.604528165578
"39","L1","rep_39","Adjustment penalty","profits",165.866531958173
"40","L1","rep_40","Adjustment penalty","profits",155.273623551557
"41","L1","rep_41","Adjustment penalty","profits",249.685478609564
"42","L1","rep_42","Adjustment penalty","profits",217.891811406847
"43","L1","rep_43","Adjustment penalty","profits",181.706452562124
"44","L1","rep_44","Adjustment penalty","profits",112.342050726737
"45","L1","rep_45","Adjustment penalty","profits",192.55306546081
"46","L1","rep_46","Adjustment penalty","profits",216.230030247471
"47","L1","rep_47","Adjustment penalty","profits",157.227780848878
"48","L1","rep_48","Adjustment penalty","profits",215.489452201242
"49","L1","rep_49","Adjustment penalty","profits",152.651945373969
"50","L1","rep_50","Adjustment penalty","profits",143.221069756375
"51","L1","rep_51","Adjustment penalty","profits",205.46906180594
"52","L1","rep_52","Adjustment penalty","profits",190.169761318012
"53","L1","rep_53","Adjustment penalty","profits",169.31347503839
