"","penalty.fn","reduction","variable","value"
"1","L1","0.1","ignoring",0.801865312688685
"2","L2","0.1","ignoring",0.70151438124957
"3","fixed","0.1","ignoring",0.78368122142956
"4","L1","0.15","ignoring",0.707254724028423
"5","L2","0.15","ignoring",0.70151438124957
"6","fixed","0.15","ignoring",0.640384124366871
"7","L1","0.2","ignoring",0.615490549055828
"8","L2","0.2","ignoring",0.480457114932893
"9","fixed","0.2","ignoring",0.531803936266301
"10","L1","0.25","ignoring",0.523567145635884
"11","L2","0.25","ignoring",0.0468705470538115
"12","fixed","0.25","ignoring",0.389338369877007
"16","L1","0.1","assuming",0.994243054805219
"17","L2","0.1","assuming",0.95366132806159
"18","fixed","0.1","assuming",0.994512049587279
"19","L1","0.15","assuming",0.987849769112537
"20","L2","0.15","assuming",0.95366132806159
"21","fixed","0.15","assuming",0.988846587398347
"22","L1","0.2","assuming",0.98125220026464
"23","L2","0.2","assuming",0.911433436833332
"24","fixed","0.2","assuming",0.982250081376834
"25","L1","0.25","assuming",0.975759772633778
"26","L2","0.25","assuming",0.864973543557855
"27","fixed","0.25","assuming",0.977080179108401
