"","time","penalty_fn","variable","value"
"1",1,"L1","fishstock",10
"2",2,"L1","fishstock",3.61837693950738
"3",3,"L1","fishstock",4.51283924653974
"4",4,"L1","fishstock",5.26204176830595
"5",5,"L1","fishstock",5.29865857576403
"6",6,"L1","fishstock",7.32156547832349
"7",7,"L1","fishstock",7.64197579174365
"8",8,"L1","fishstock",9.26384884626396
"9",9,"L1","fishstock",9.95240000135144
"10",10,"L1","fishstock",8.0494243301031
"11",11,"L1","fishstock",6.39560271031074
"12",12,"L1","fishstock",8.8339091790944
"13",13,"L1","fishstock",7.42448250661192
"14",14,"L1","fishstock",8.13659009436361
"15",15,"L1","fishstock",7.19448218669782
"16",16,"L1","fishstock",8.33339271533588
"17",17,"L1","fishstock",7.02443046259959
"18",18,"L1","fishstock",6.97532498806462
"19",19,"L1","fishstock",6.04027792846377
"20",1,"L2","fishstock",10
"21",2,"L2","fishstock",6.91519709997635
"22",3,"L2","fishstock",6.45944207605533
"23",4,"L2","fishstock",6.150488855809
"24",5,"L2","fishstock",5.35693271391828
"25",6,"L2","fishstock",7.02516700812065
"26",7,"L2","fishstock",6.5885797085455
"27",8,"L2","fishstock",7.97232475754376
"28",9,"L2","fishstock",10.1685630234348
"29",10,"L2","fishstock",8.51518292581124
"30",11,"L2","fishstock",7.6602619909862
"31",12,"L2","fishstock",8.78927556760612
"32",13,"L2","fishstock",8.52269282078816
"33",14,"L2","fishstock",9.4154725586391
"34",15,"L2","fishstock",8.04104191081259
"35",16,"L2","fishstock",9.60761404627684
"36",17,"L2","fishstock",7.5495068257088
"37",18,"L2","fishstock",7.38385612530906
"38",19,"L2","fishstock",5.62530392467991
"39",1,"fixed","fishstock",10
"40",2,"fixed","fishstock",2.55139669179481
"41",3,"fixed","fishstock",3.32886155803319
"42",4,"fixed","fishstock",4.075360687976
"43",5,"fixed","fishstock",4.30368991031513
"44",6,"fixed","fishstock",6.18758824464388
"45",7,"fixed","fishstock",6.84897704097922
"46",8,"fixed","fishstock",9.28643964839766
"47",9,"fixed","fishstock",4.57777682776767
"48",10,"fixed","fishstock",5.86988885304327
"49",11,"fixed","fishstock",7.31517652990067
"50",12,"fixed","fishstock",10.1641023854955
"51",13,"fixed","fishstock",3.77774788259382
"52",14,"fixed","fishstock",6.16205095159141
"53",15,"fixed","fishstock",7.32753296888576
"54",16,"fixed","fishstock",11.0472653419066
"55",17,"fixed","fishstock",4.63162431534573
"56",18,"fixed","fishstock",6.65928910910433
"57",19,"fixed","fishstock",7.72775875620802
"58",1,"L1","alternate",10
"59",2,"L1","alternate",3.76238827177054
"60",3,"L1","alternate",4.6644944600617
"61",4,"L1","alternate",5.40580872749137
"62",5,"L1","alternate",5.41288453142566
"63",6,"L1","alternate",7.44606571632471
"64",7,"L1","alternate",7.08373130754185
"65",8,"L1","alternate",9.02652777391032
"66",9,"L1","alternate",7.23014762550832
"67",10,"L1","alternate",7.50941388068278
"68",11,"L1","alternate",7.32377858930995
"69",12,"L1","alternate",9.13940685528899
"70",13,"L1","alternate",5.96507662975261
"71",14,"L1","alternate",8.91859661746453
"72",15,"L1","alternate",5.72740546447899
"73",16,"L1","alternate",9.16860818442073
"74",17,"L1","alternate",5.85700822101127
"75",18,"L1","alternate",8.0255231978073
"76",19,"L1","alternate",7.49485404592326
"77",1,"L2","alternate",10
"78",2,"L2","alternate",3.76238827177054
"79",3,"L2","alternate",4.6644944600617
"80",4,"L2","alternate",5.40580872749137
"81",5,"L2","alternate",5.41288453142566
"82",6,"L2","alternate",7.44606571632471
"83",7,"L2","alternate",7.08373130754185
"84",8,"L2","alternate",9.02652777391032
"85",9,"L2","alternate",7.23014762550832
"86",10,"L2","alternate",7.50941388068278
"87",11,"L2","alternate",7.32377858930995
"88",12,"L2","alternate",9.13940685528899
"89",13,"L2","alternate",5.96507662975261
"90",14,"L2","alternate",8.91859661746453
"91",15,"L2","alternate",5.72740546447899
"92",16,"L2","alternate",9.16860818442073
"93",17,"L2","alternate",5.85700822101127
"94",18,"L2","alternate",8.0255231978073
"95",19,"L2","alternate",7.49485404592326
"96",1,"fixed","alternate",10
"97",2,"fixed","alternate",3.76238827177054
"98",3,"fixed","alternate",4.6644944600617
"99",4,"fixed","alternate",5.40580872749137
"100",5,"fixed","alternate",5.41288453142566
"101",6,"fixed","alternate",7.44606571632471
"102",7,"fixed","alternate",7.08373130754185
"103",8,"fixed","alternate",9.02652777391032
"104",9,"fixed","alternate",7.23014762550832
"105",10,"fixed","alternate",7.50941388068278
"106",11,"fixed","alternate",7.32377858930995
"107",12,"fixed","alternate",9.13940685528899
"108",13,"fixed","alternate",5.96507662975261
"109",14,"fixed","alternate",8.91859661746453
"110",15,"fixed","alternate",5.72740546447899
"111",16,"fixed","alternate",9.16860818442073
"112",17,"fixed","alternate",5.85700822101127
"113",18,"fixed","alternate",8.0255231978073
"114",19,"fixed","alternate",7.49485404592326
