"","time","replicate","penalty_fn","variable","stock"
"1",1,"rep_16","L1","fishstock",10
"2",2,"rep_16","L1","fishstock",4.87592577036153
"3",3,"rep_16","L1","fishstock",5.72521411153913
"4",4,"rep_16","L1","fishstock",8.30194294617829
"5",5,"rep_16","L1","fishstock",4.39908375597285
"6",6,"rep_16","L1","fishstock",6.79201793287269
"7",7,"rep_16","L1","fishstock",6.9175313960692
"8",8,"rep_16","L1","fishstock",6.29788183837511
"9",9,"rep_16","L1","fishstock",7.26760000730923
"10",10,"rep_16","L1","fishstock",9.64254441514273
"11",11,"rep_16","L1","fishstock",6.08337086114711
"12",12,"rep_16","L1","fishstock",10.1110922528113
"13",13,"rep_16","L1","fishstock",4.65632473690671
"14",14,"rep_16","L1","fishstock",4.87167906032308
"15",15,"rep_16","L1","fishstock",8.1734929665543
"16",16,"rep_16","L1","fishstock",7.7053245888688
"17",17,"rep_16","L1","fishstock",4.4722588314003
"18",18,"rep_16","L1","fishstock",6.14048001067832
"19",19,"rep_16","L1","fishstock",7.73627269466655
"20",20,"rep_16","L1","fishstock",6.41493471399367
"21",21,"rep_16","L1","fishstock",7.44246669899625
"22",22,"rep_16","L1","fishstock",4.95692975521193
"23",23,"rep_16","L1","fishstock",5.58664521070942
"24",24,"rep_16","L1","fishstock",6.30642407381411
"25",25,"rep_16","L1","fishstock",9.63923724930952
"26",26,"rep_16","L1","fishstock",4.13646242658054
"27",27,"rep_16","L1","fishstock",6.96433411991613
"28",28,"rep_16","L1","fishstock",9.55680979595705
"29",29,"rep_16","L1","fishstock",5.93725164436602
"30",30,"rep_16","L1","fishstock",8.11322616330029
"31",31,"rep_16","L1","fishstock",6.90820621586212
"32",32,"rep_16","L1","fishstock",5.46707243205374
"33",33,"rep_16","L1","fishstock",6.60373863747764
"34",34,"rep_16","L1","fishstock",7.33352735072563
"35",35,"rep_16","L1","fishstock",6.55003834005403
"36",36,"rep_16","L1","fishstock",5.91205690923082
"37",37,"rep_16","L1","fishstock",7.07512739651849
"38",38,"rep_16","L1","fishstock",8.58289933265102
"39",39,"rep_16","L1","fishstock",6.46247767314254
"40",40,"rep_16","L1","fishstock",7.59331390159657
"41",41,"rep_16","L1","fishstock",7.15384924812314
"42",42,"rep_16","L1","fishstock",5.53196547329169
"43",43,"rep_16","L1","fishstock",8.63764593517917
"44",44,"rep_16","L1","fishstock",7.87595898653756
"45",45,"rep_16","L1","fishstock",6.3807997975842
