"","penalty.fn","reduction","variable","value"
"1","L1_L2","0.1","ignoring",0.513943232564419
"2","L2_L1","0.1","ignoring",0.842055224575981
"3","L2_fixed","0.1","ignoring",0.730192849736168
"4","fixed_L2","0.1","ignoring",0.428539752597946
"5","L1_L2","0.15","ignoring",0.518412100373277
"6","L2_L1","0.15","ignoring",0.763082836863971
"7","L2_fixed","0.15","ignoring",0.580299988478483
"8","fixed_L2","0.15","ignoring",0.422175159924255
"9","L1_L2","0.2","ignoring",0.0446441384360011
"10","L2_L1","0.2","ignoring",0.702979737007717
"11","L2_fixed","0.2","ignoring",0.341869827830691
"12","fixed_L2","0.2","ignoring",-0.165644792187839
"13","L1_L2","0.25","ignoring",-0.442766303205851
"14","L2_L1","0.25","ignoring",0.636830341552667
"15","L2_fixed","0.25","ignoring",0.124896633619494
"16","fixed_L2","0.25","ignoring",-0.774328756358137
"17","L1_L2","0.1","mismatched",0.531874529568822
"18","L2_L1","0.1","mismatched",0.842990302139051
"19","L2_fixed","0.1","mismatched",0.624062605617487
"20","fixed_L2","0.1","mismatched",0.337012782698998
"21","L1_L2","0.15","mismatched",0.544500278696512
"22","L2_L1","0.15","mismatched",0.787757730322603
"23","L2_fixed","0.15","mismatched",0.441066583309454
"24","fixed_L2","0.15","mismatched",0.304929000927275
"25","L1_L2","0.2","mismatched",0.128113512897483
"26","L2_L1","0.2","mismatched",0.735929409806504
"27","L2_fixed","0.2","mismatched",0.138004012602914
"28","fixed_L2","0.2","mismatched",-0.462714793711522
"29","L1_L2","0.25","mismatched",-0.346994105579081
"30","L2_L1","0.25","mismatched",0.700810198669055
"31","L2_fixed","0.25","mismatched",-0.090367167417749
"32","fixed_L2","0.25","mismatched",-1.24650338467399
