"","time","penalty_fn","replicate","variable","value","baseline"
"1201",1,"L1","rep_11","harvest",6.53244897959184,"penalty"
"1202",2,"L1","rep_11","harvest",0.01,"penalty"
"1203",3,"L1","rep_11","harvest",0.01,"penalty"
"1204",4,"L1","rep_11","harvest",0.01,"penalty"
"1205",5,"L1","rep_11","harvest",0.01,"penalty"
"1206",6,"L1","rep_11","harvest",0.01,"penalty"
"1207",7,"L1","rep_11","harvest",0.01,"penalty"
"1208",8,"L1","rep_11","harvest",5.06489795918367,"penalty"
"1209",9,"L1","rep_11","harvest",0.01,"penalty"
"1210",10,"L1","rep_11","harvest",0.01,"penalty"
"1211",11,"L1","rep_11","harvest",0.01,"penalty"
"1212",12,"L1","rep_11","harvest",0.01,"penalty"
"1213",13,"L1","rep_11","harvest",0.01,"penalty"
"1214",14,"L1","rep_11","harvest",0.01,"penalty"
"1215",15,"L1","rep_11","harvest",0.01,"penalty"
"1216",16,"L1","rep_11","harvest",0.01,"penalty"
"1217",17,"L1","rep_11","harvest",0.01,"penalty"
"1218",18,"L1","rep_11","harvest",0.01,"penalty"
"1219",19,"L1","rep_11","harvest",8,"penalty"
"1220",20,"L1","rep_11","harvest",0,"penalty"
"1221",1,"L1","rep_12","harvest",6.53244897959184,"penalty"
"1222",2,"L1","rep_12","harvest",0.01,"penalty"
"1223",3,"L1","rep_12","harvest",0.01,"penalty"
"1224",4,"L1","rep_12","harvest",0.01,"penalty"
"1225",5,"L1","rep_12","harvest",0.01,"penalty"
"1226",6,"L1","rep_12","harvest",0.01,"penalty"
"1227",7,"L1","rep_12","harvest",0.01,"penalty"
"1228",8,"L1","rep_12","harvest",0.01,"penalty"
"1229",9,"L1","rep_12","harvest",0.01,"penalty"
"1230",10,"L1","rep_12","harvest",0.01,"penalty"
"1231",11,"L1","rep_12","harvest",2.45591836734694,"penalty"
"1232",12,"L1","rep_12","harvest",0.01,"penalty"
"1233",13,"L1","rep_12","harvest",0.01,"penalty"
"1234",14,"L1","rep_12","harvest",0.01,"penalty"
"1235",15,"L1","rep_12","harvest",0.01,"penalty"
"1236",16,"L1","rep_12","harvest",0.01,"penalty"
"1237",17,"L1","rep_12","harvest",0.01,"penalty"
