"","time","penalty_fn","variable","value","baseline"
"1",1,"L1","fish_stock",10,"penalty"
"2",2,"L1","fish_stock",3.61837693950738,"penalty"
"3",3,"L1","fish_stock",4.51283924653974,"penalty"
"4",4,"L1","fish_stock",5.26204176830595,"penalty"
"5",5,"L1","fish_stock",5.29865857576403,"penalty"
"6",6,"L1","fish_stock",7.32156547832349,"penalty"
"7",7,"L1","fish_stock",7.64197579174365,"penalty"
"8",8,"L1","fish_stock",9.26384884626396,"penalty"
"9",9,"L1","fish_stock",9.95240000135144,"penalty"
"10",10,"L1","fish_stock",8.0494243301031,"penalty"
"11",11,"L1","fish_stock",6.39560271031074,"penalty"
"12",12,"L1","fish_stock",8.8339091790944,"penalty"
"13",13,"L1","fish_stock",7.42448250661192,"penalty"
"14",14,"L1","fish_stock",8.13659009436361,"penalty"
"15",15,"L1","fish_stock",7.19448218669782,"penalty"
"16",16,"L1","fish_stock",8.33339271533588,"penalty"
"17",17,"L1","fish_stock",7.02443046259959,"penalty"
"18",18,"L1","fish_stock",6.97532498806462,"penalty"
"19",19,"L1","fish_stock",6.04027792846377,"penalty"
"20",20,"L1","fish_stock",0,"penalty"
"21",1,"L2","fish_stock",10,"penalty"
"22",2,"L2","fish_stock",6.91519709997635,"penalty"
"23",3,"L2","fish_stock",6.45944207605533,"penalty"
"24",4,"L2","fish_stock",6.150488855809,"penalty"
"25",5,"L2","fish_stock",5.35693271391828,"penalty"
"26",6,"L2","fish_stock",7.02516700812065,"penalty"
"27",7,"L2","fish_stock",6.5885797085455,"penalty"
"28",8,"L2","fish_stock",7.97232475754376,"penalty"
"29",9,"L2","fish_stock",10.1685630234348,"penalty"
"30",10,"L2","fish_stock",8.51518292581124,"penalty"
"31",11,"L2","fish_stock",7.6602619909862,"penalty"
"32",12,"L2","fish_stock",8.78927556760612,"penalty"
"33",13,"L2","fish_stock",8.52269282078816,"penalty"
"34",14,"L2","fish_stock",9.4154725586391,"penalty"
"35",15,"L2","fish_stock",8.04104191081259,"penalty"
"36",16,"L2","fish_stock",9.60761404627684,"penalty"
"37",17,"L2","fish_stock",7.5495068257088,"penalty"
"38",18,"L2","fish_stock",7.38385612530906,"penalty"
"39",19,"L2","fish_stock",5.62530392467991,"penalty"
"40",20,"L2","fish_stock",1.18699088930104,"penalty"
"41",1,"fixed","fish_stock",10,"penalty"
"42",2,"fixed","fish_stock",2.55139669179481,"penalty"
"43",3,"fixed","fish_stock",3.32886155803319,"penalty"
"44",4,"fixed","fish_stock",4.075360687976,"penalty"
"45",5,"fixed","fish_stock",4.30368991031513,"penalty"
"46",6,"fixed","fish_stock",6.18758824464388,"penalty"
"47",7,"fixed","fish_stock",6.84897704097922,"penalty"
"48",8,"fixed","fish_stock",9.28643964839766,"penalty"
"49",9,"fixed","fish_stock",4.57777682776767,"penalty"
"50",10,"fixed","fish_stock",5.86988885304327,"penalty"
"51",11,"fixed","fish_stock",7.31517652990067,"penalty"
"52",12,"fixed","fish_stock",10.1641023854955,"penalty"
"53",13,"fixed","fish_stock",3.77774788259382,"penalty"
"54",14,"fixed","fish_stock",6.16205095159141,"penalty"
"55",15,"fixed","fish_stock",7.32753296888576,"penalty"
"56",16,"fixed","fish_stock",11.0472653419066,"penalty"
"57",17,"fixed","fish_stock",4.63162431534573,"penalty"
"58",18,"fixed","fish_stock",6.65928910910433,"penalty"
"59",19,"fixed","fish_stock",7.72775875620802,"penalty"
"60",20,"fixed","fish_stock",0,"penalty"
"61",1,"L1","fish_stock",10,"no_penalty"
"62",2,"L1","fish_stock",3.76238827177054,"no_penalty"
"63",3,"L1","fish_stock",4.6644944600617,"no_penalty"
"64",4,"L1","fish_stock",5.40580872749137,"no_penalty"
"65",5,"L1","fish_stock",5.41288453142566,"no_penalty"
"66",6,"L1","fish_stock",7.44606571632471,"no_penalty"
"67",7,"L1","fish_stock",7.08373130754185,"no_penalty"
"68",8,"L1","fish_stock",9.02652777391032,"no_penalty"
"69",9,"L1","fish_stock",7.23014762550832,"no_penalty"
"70",10,"L1","fish_stock",7.50941388068278,"no_penalty"
"71",11,"L1","fish_stock",7.32377858930995,"no_penalty"
"72",12,"L1","fish_stock",9.13940685528899,"no_penalty"
"73",13,"L1","fish_stock",5.96507662975261,"no_penalty"
"74",14,"L1","fish_stock",8.91859661746453,"no_penalty"
"75",15,"L1","fish_stock",5.72740546447899,"no_penalty"
"76",16,"L1","fish_stock",9.16860818442073,"no_penalty"
"77",17,"L1","fish_stock",5.85700822101127,"no_penalty"
"78",18,"L1","fish_stock",8.0255231978073,"no_penalty"
"79",19,"L1","fish_stock",7.49485404592326,"no_penalty"
"80",20,"L1","fish_stock",0,"no_penalty"
"81",1,"L2","fish_stock",10,"no_penalty"
"82",2,"L2","fish_stock",3.76238827177054,"no_penalty"
"83",3,"L2","fish_stock",4.6644944600617,"no_penalty"
"84",4,"L2","fish_stock",5.40580872749137,"no_penalty"
"85",5,"L2","fish_stock",5.41288453142566,"no_penalty"
"86",6,"L2","fish_stock",7.44606571632471,"no_penalty"
"87",7,"L2","fish_stock",7.08373130754185,"no_penalty"
"88",8,"L2","fish_stock",9.02652777391032,"no_penalty"
"89",9,"L2","fish_stock",7.23014762550832,"no_penalty"
"90",10,"L2","fish_stock",7.50941388068278,"no_penalty"
"91",11,"L2","fish_stock",7.32377858930995,"no_penalty"
"92",12,"L2","fish_stock",9.13940685528899,"no_penalty"
"93",13,"L2","fish_stock",5.96507662975261,"no_penalty"
"94",14,"L2","fish_stock",8.91859661746453,"no_penalty"
"95",15,"L2","fish_stock",5.72740546447899,"no_penalty"
"96",16,"L2","fish_stock",9.16860818442073,"no_penalty"
"97",17,"L2","fish_stock",5.85700822101127,"no_penalty"
"98",18,"L2","fish_stock",8.0255231978073,"no_penalty"
"99",19,"L2","fish_stock",7.49485404592326,"no_penalty"
"100",20,"L2","fish_stock",0,"no_penalty"
"101",1,"fixed","fish_stock",10,"no_penalty"
"102",2,"fixed","fish_stock",3.76238827177054,"no_penalty"
"103",3,"fixed","fish_stock",4.6644944600617,"no_penalty"
